호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월
1,150,서울역(1),19799600,93562,2823972,2542481,2885932,2918104,2993718,2770656,2864737
1,151,시청(1),9478426,44701,1367861,1114504,1380702,1432476,1460584,1334755,1387544
1,152,종각,16783116,78856,2529090,2098588,2445715,2433679,2496189,2269648,2510207
1,153,종로3가(1),11553939,54481,1729440,1465221,1692299,1638929,1734230,1600924,1692896
1,154,종로5가,10379864,49299,1532069,1303823,1558679,1532793,1571939,1423812,1456749
1,155,동대문(1),5418592,25741,743915,682919,820750,799545,837528,774367,759568
1,156,신설동(1),5552611,26201,791093,674345,833421,825577,841804,776073,810298
1,157,제기동,7678291,36429,1191456,915810,1121384,1135625,1148519,1080821,1084676
1,158,청량리,9466711,45160,1412901,1207810,1441740,1383931,1416339,1311208,1292782
1,159,동묘앞(1),4059046,19514,543429,534707,635722,596045,642396,582161,524586
2,201,시청(2),7951336,37210,1144461,931226,1142301,1211281,1199824,1105999,1216244
2,202,을지로입구,15747392,73925,2295751,1911486,2302489,2323887,2346445,2200448,2366886
2,203,을지로3가(2),7152870,33466,1044646,850724,1030217,1052964,1077860,1001067,1095392
2,204,을지로4가(2),3584934,16800,529106,429286,520078,517250,538099,507019,544096
2,205,동대문역사문화공원(2),5455416,25774,728454,658851,830546,794505,870377,782308,790375
2,206,신당(2),4680159,22122,668950,573170,704120,694132,708081,655548,676158
2,207,상왕십리,4560022,21454,655733,550008,671708,675625,690788,639263,676897
2,208,왕십리(2),5722497,27088,797313,688902,875464,844576,894346,802371,819525
2,209,한양대,3781298,18498,396747,313633,680389,700068,696896,560348,433217
2,210,뚝섬,6192313,28975,851251,710300,879082,928827,987036,887871,947946
2,211,성수,9762547,45739,1414112,1165166,1412634,1468840,1469726,1348403,1483666
2,212,건대입구(2),12999984,61609,1827382,1622225,1966176,1887245,2033473,1814655,1848828
2,213,구의,7212108,34016,1050968,887116,1063560,1068863,1088194,998093,1055314
2,214,강변,13221960,62639,1872966,1744053,1947833,1898358,2024092,1850361,1884297
2,215,잠실나루,4984662,23507,733592,607559,700667,760854,766691,685339,729960
2,216,잠실(2),24999222,118023,3559239,3215966,3525021,3880333,3793612,3388005,3637046
2,217,잠실새내,7411104,35000,1071467,906668,1091566,1096287,1141256,1027736,1076124
2,218,종합운동장(2),4295197,20085,444408,368896,649707,660859,830504,681138,659685
2,219,삼성,18235230,84724,2654408,2169127,2595130,2656266,2779677,2480478,2900144
2,220,선릉,15815754,73897,2393573,1888801,2257543,2341619,2333876,2159827,2440515
2,221,역삼,15332683,71571,2363722,1862707,2210273,2262573,2211237,2043859,2378312
2,222,강남,30502880,142123,4749571,3901121,4367422,4234069,4365377,4106734,4778586
2,223,교대(2),10797166,50654,1573477,1278127,1591561,1614441,1621807,1488934,1628819
2,224,서초,6893890,32427,992606,814619,1023179,1030275,1029053,979568,1024590
2,225,방배,5856912,28152,780886,651439,943752,956889,943889,818637,761420
2,226,사당(2),12923417,61067,1857188,1563986,1929514,1909861,1950648,1841984,1870236
2,227,낙성대,9000649,42522,1283569,1083644,1349631,1341161,1379270,1259179,1304195
2,228,서울대입구,15884476,74930,2279373,1922209,2391277,2346801,2421300,2201357,2322159
2,229,봉천,7303276,34332,1047225,881796,1071930,1079046,1095097,1038825,1089357
2,230,신림,21240558,100284,3074522,2641730,3143371,3118485,3198750,2974537,3089163
2,231,신대방,8798398,41484,1243861,1073786,1288859,1311839,1343342,1246983,1289728
2,232,구로디지털단지,19661741,92398,2884533,2409838,2864595,2910344,2938552,2716034,2937845
2,233,대림(2),8725984,41200,1227769,1065331,1295125,1298074,1326791,1244056,1268838
2,234,신도림,19145214,90553,2770537,2349372,2864573,2822576,2885286,2697690,2755180
2,235,문래,6452971,30271,944626,784992,939224,960046,959661,890523,973899
2,236,영등포구청(2),6686965,31442,972554,806255,982336,1002995,1006150,920821,995854
2,237,당산,6841335,32230,949898,801838,1004154,1048724,1060636,968296,1007789
2,238,합정(2),10741975,50604,1557632,1330745,1576491,1558426,1621998,1513912,1582771
2,239,홍대입구,27422519,129756,3950118,3606753,4119589,3826788,4170476,3812039,3936756
2,240,신촌,15395516,72742,2197055,1896516,2382556,2219330,2363296,2107555,2229208
2,241,이대,6532234,31290,820578,716578,1100853,1046473,1077618,901444,868690
2,242,아현,3282383,15520,446418,380997,497988,502133,516698,464936,473213
2,243,충정로(2),3312199,15616,480606,399289,489905,498573,497383,460780,485663
2,244,용답,814787,3879,107583,90817,130189,126646,130493,116302,112757
2,245,신답,436682,2058,62362,52449,64629,64874,66521,61682,64165
2,246,신설동(2),1455843,6937,217538,187951,227576,210655,212073,199958,200092
2,247,도림천,419032,1958,58595,49223,62761,65503,61798,56553,64599
2,248,양천구청,2443809,11540,335616,289277,361086,374308,382011,346428,355083
2,249,신정네거리,3369418,15877,461427,401011,492655,510899,527478,480243,495705
2,250,용두,698706,3289,102142,85824,103809,101551,103561,98345,103474
3,309,지축,447957,2095,57167,49595,63780,69004,72414,67295,68702
3,310,구파발,7132721,33376,953245,829265,1015910,1067366,1133175,1042119,1091641
3,311,연신내(3),13197159,62304,1882989,1630414,1953013,1941758,2013478,1855484,1920023
3,312,불광(3),6189350,29260,871910,758048,928800,919256,946625,871265,893446
